weather_type,tea_name,description
Clouds,Oolong,Toasty and mellow for overcast skies
Clouds,Lavender Earl Grey,Floral twist to lift cloudy moods
Clouds,Honeybush,Sweet and smooth in dim light
Clouds,Spiced Apple,Aromatic pick-me-up on dull days
Clouds,Toasted Rice Green,Nutty comfort for gray air
Clouds,Chrysanthemum,Calm clarity beneath clouds
Clouds,Licorice Root,Natural sweetness and warmth
Clouds,Caramel Black,Rich notes for muted light
Clouds,Chocolate Mint,Dessert-like comfort for gloom
Clouds,Roasted Barley,Savory depth when it’s dim
