weather_type,tea_name,description
Snow,Matcha Latte,Creamy and warm for snowy moments
Snow,Oolong,Nutty warmth to fight the chill
Snow,Pu-erh,Rich and earthy to stay grounded
Snow,Hot Cinnamon Spice,Fiery warmth against the frost
Snow,Spiced Rooibos,Caffeine-free heat for winter days
Snow,Ginger Turmeric,Golden spice to warm the soul
Snow,Mulled Hibiscus,Tart and spiced like a holiday
Snow,Vanilla Black,Soft and sweet warmth indoors
Snow,Black Forest,Dark berries and tea for a rich sip
Snow,Cocoa Chai,Chocolate and spice fusion for snow
